account length,location code,user id,credit card info save,push status,add to wishlist,desktop sessions,app sessions,desktop transactions,total product detail views,session duration,promotion clicks,avg order value,sale product views,discount rate per visited products,product detail view per app session,app transactions,add to cart per session,customer service calls,churn
128,415,3824657,no,yes,25,265,45,17,110,197,87,2447,91,1101,10,3,27,1,0
107,415,3717191,no,yes,26,162,27,17,123,196,103,2544,103,1145,137,3,37,1,0
137,415,3581921,no,no,0,243,41,10,114,121,110,1626,104,732,122,5,329,0,0
84,408,3759999,yes,no,0,299,51,5,71,62,88,1969,89,886,66,7,178,2,0
75,415,3306626,yes,no,0,167,28,13,113,148,122,1869,121,841,101,3,273,3,0
118,510,3918027,yes,no,0,223,38,19,98,221,101,2039,118,918,63,6,17,0,0
121,510,3559993,no,yes,24,218,37,30,88,349,108,2126,118,957,75,7,203,3,0
147,415,3299001,yes,no,0,157,27,9,79,103,94,2118,96,953,71,6,192,0,0
117,408,3354719,no,no,0,185,31,30,97,352,80,2158,90,971,87,4,235,1,0
141,415,3308173,yes,yes,37,259,44,19,84,222,111,3264,97,1469,112,5,302,0,0
65,415,3296603,no,no,0,129,22,19,137,229,83,2088,111,94,127,6,343,4,1
74,415,3449403,no,no,0,188,32,14,127,163,148,196,94,882,91,5,246,0,0
168,408,3631107,no,no,0,129,22,9,96,105,71,1411,128,635,112,2,302,1,0
95,510,3948006,no,no,0,157,27,21,88,248,75,1923,115,865,123,5,332,3,0
62,415,3669238,no,no,0,121,21,26,70,307,76,203,99,914,131,6,354,4,0
161,415,3517269,no,no,0,333,57,27,67,318,97,1606,128,723,54,9,146,4,1
85,408,3508884,no,yes,27,196,33,24,139,281,90,893,75,402,138,4,373,1,0
93,510,3862923,no,no,0,191,32,19,114,218,111,1296,121,583,81,3,219,3,0
76,510,3562992,no,yes,33,190,32,18,66,213,65,1657,108,746,10,5,27,1,0
73,415,3732782,no,no,0,224,38,14,90,160,88,1928,74,868,13,2,351,1,0
147,415,3965800,no,no,0,155,26,20,117,240,93,2088,133,94,106,4,286,0,0
77,408,3937984,no,no,0,62,11,14,89,170,121,2096,64,943,57,6,154,5,1
130,415,3581958,no,no,0,183,31,6,112,73,99,1818,78,818,95,19,257,0,0
111,415,3502565,no,no,0,110,19,12,103,137,102,1896,105,853,77,6,208,2,0
132,510,3434696,no,no,0,81,14,21,86,245,72,237,115,1067,103,2,278,0,0
174,415,3313698,no,no,0,124,21,24,76,277,112,2507,115,1128,155,5,419,3,0
57,408,3573817,no,yes,39,213,36,16,115,191,112,1827,115,822,95,3,257,0,0
54,408,4186412,no,no,0,134,23,13,73,156,100,1021,68,459,147,4,397,3,0
20,415,3532630,no,no,0,190,32,22,109,258,84,1815,102,817,63,6,17,0,0
49,510,4107789,no,no,0,119,20,18,117,215,109,1787,90,804,111,1,3,1,0
142,415,4168428,no,no,0,85,14,12,95,137,63,2505,148,1127,142,6,383,2,0
75,510,3703359,no,no,0,226,38,17,105,202,107,2462,98,1108,103,5,278,1,0
172,408,3831121,no,no,0,212,36,3,121,31,115,2933,78,132,126,10,34,3,0
12,408,3601596,no,no,0,250,42,21,118,252,119,2802,90,1261,118,3,319,1,1
57,408,3952854,no,yes,25,177,30,17,94,195,75,2135,116,961,83,4,224,0,0
72,415,3621407,no,yes,37,220,37,18,80,217,102,1528,71,688,147,6,397,3,0
36,408,3419764,no,yes,30,146,25,14,128,163,80,1293,109,582,145,6,392,0,0
78,415,3533305,no,no,0,131,22,19,64,224,116,2278,108,1025,10,5,27,1,0
